Ticker,Date,Open,High,Low,Close,Volume,TradingValue,TradingValue_Source,TradingValue_IsProxy
MWG,2025-09-22,76.71,76.71,74.83,75.33,8126100,577833550012,INTRADAY_TICK,False
MWG,2025-09-23,75.62,77.0,75.13,76.61,4466900,345775100539,INTRADAY_TICK,False
MWG,2025-09-24,76.51,77.99,75.92,77.99,4391900,228600279230,INTRADAY_TICK,False
MWG,2025-09-25,77.59,77.79,76.9,77.79,5302400,406698981794,INTRADAY_TICK,False
MWG,2025-09-26,77.1,77.89,76.71,76.71,4081700,319990650777,INTRADAY_TICK,False
MWG,2025-09-29,76.71,76.71,75.43,75.82,6021900,464508089549,INTRADAY_TICK,False
MWG,2025-09-30,75.62,76.61,75.03,76.51,7817600,603996755505,INTRADAY_TICK,False
MWG,2025-10-01,76.31,77.1,76.02,76.51,4989600,387387327597,INTRADAY_TICK,False
MWG,2025-10-02,76.61,77.3,75.72,75.92,4725900,366970349348,INTRADAY_TICK,False
MWG,2025-10-03,75.82,76.21,74.24,75.82,9671700,740508909749,INTRADAY_TICK,False
MWG,2025-10-06,77.2,77.49,76.02,76.41,9452100,734428385859,INTRADAY_TICK,False
MWG,2025-10-07,76.8,78.28,76.31,76.8,7199900,565648331516,INTRADAY_TICK,False
MWG,2025-10-08,77.79,80.05,77.3,79.56,17337700,1392441761449,INTRADAY_TICK,False
MWG,2025-10-09,79.56,80.64,79.27,80.25,7782900,631501451892,INTRADAY_TICK,False
MWG,2025-10-10,80.15,80.74,79.36,80.74,7593200,615601874461,INTRADAY_TICK,False
MWG,2025-10-13,79.95,81.73,79.76,81.73,7962500,652278491176,INTRADAY_TICK,False
MWG,2025-10-14,82.61,83.7,81.14,82.91,12093100,1015175326355,INTRADAY_TICK,False
MWG,2025-10-15,82.71,83.4,81.73,82.02,5687400,475707971821,INTRADAY_TICK,False
MWG,2025-10-16,82.02,83.5,81.73,83.2,6629400,375011989439,INTRADAY_TICK,False
MWG,2025-10-17,83.5,84.58,82.51,83.2,9880500,838516339317,INTRADAY_TICK,False
MWG,2025-10-20,85.67,86.55,78.58,79.66,14226400,1197721809512,INTRADAY_TICK,False
MWG,2025-10-21,81.04,81.73,79.27,81.73,12062300,986944152408,INTRADAY_TICK,False
MWG,2025-10-22,81.73,83.2,80.35,83.2,8203100,681603061613,INTRADAY_TICK,False
MWG,2025-10-23,84.68,85.47,83.3,84.39,9156600,784526737964,INTRADAY_TICK,False
MWG,2025-10-24,84.19,84.58,81.53,84.39,9652900,816362966657,INTRADAY_TICK,False
MWG,2025-10-27,84.39,84.39,79.76,79.76,9884200,818759578749,INTRADAY_TICK,False
MWG,2025-10-28,79.66,83.11,79.17,82.91,8277300,666439569152,INTRADAY_TICK,False
